portugues,tupi_pred
"Acima de todas as pessoas embelezou-a","opa marãba-pypé aîe'anga"
"Eu estou enlameado","xe xe moîa"
"Vinde, meus companheiros","eîe, xe mo'ã"
"Que bom que meu próximo tenha coisas boas!","xe xe yképe xe mba'e-potá-potá!"
"Leva-o depressa","eî'anga"
"mastro da embarcação","ybype'a"
"Enterro-o","aîmoîasó"
"estes que estão em Ibiapaba","ibiapaba-pe"
"Eu sou antigo filho de Jetuú Criei-me dentro dela","xe jetú ra'yîaîbaîaîbaîaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîba"
"Tu não me detestas","nde'i xe moîasé"
"topo da escada","yké"
"Digo mal dele","aîe'îaîaî"
"Que venha, por teus pedidos, Deus para nos fazer felizes","nde rembi'u-pe, tupã îandé îandé"
"tear de redes","aîaîaîaîaîaîa"
"Derramando o seu sangue, ficaram a açoitá-lo","o'aîba'e, o'aîba'e"
"Que eu afaste o proceder antigo para que não esteja no mal","xe apytá-py nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ"
"Este dia é feriado","ko'e ára îeré"
"A terra também, então, agitando-se, tremendo","yvy-teîa, îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"cabo de espada","ka'u"
"certo homem branco nobre","i îaîba-tûaîba"
"O dia em que esses fatos se consumaram os cristãos não estavam felizes","ko'e mba'e-pyranga resé n'oîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"Empanturrei as pessoas","aîe'oîaîaîaîaîaîaîaîaîaîa"
"Eu tenho hérnia","xe xe hernia"
"Que bom seria se Deus mandasse fazer os cadáveres falarem!","aîe'anga tupã oîe'anga i îaîba'e-aîba'e!"
"seu próprio corpo incorrupto","i rete îandé"
"Assim, desta maneira, na verdade, a gente subirá para o céu, após lançar fora seu grande peso","kó-py, îaîpó, îaîpópe îaîpó îaîpó, îaîpó îaîpó îaîpó"
"habitante de fronteira","ybybyba"
"Dizendo palavras más acerca de coisas nojentas","mba'e-py'aîba-py'aîba-py'aîba"
"lêndeas de piolho","i'aîba"
"Sou inimigo das pessoas","xe monhẽba"
"Urdiste mentiras contra alguém, desonrando-o?","ereîmoîasûaîba'e resé, nde resé?"
"Ainda hoje os malditos queimam","ko'ẽ-pe îaîûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûû"
"É muito doloroso não vir fulano ao meu chamado","xe rekó-py xe moîaîba xe moîaîba"
"Fizeste sexo com uma mulher com alguém observando-o?","ereîmoîîaîba'e resé îeîba'e resé nde resé?"
"Ajudaste alguém num roubo?","ereîmoîpûeraîaîba îepûera?"
"Se eu o mandasse","xe xe xe moîasé"
"Reritiba, minha terra, aldeia muito boa","reriba, xe retã, i'anga"
"teu nome","nde ré"
"Por isso mesmo o homem que quer a virtude se esvazia de corpo, fazendo-o jejuar","kó-pe îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé"
"Suas próprias coisas, na verdade, a gente ama em seu coração","i mba'e-py, îandé, îandé oîe'anga"
"Firmei-o comigo","aîe'îaîaîaîaîa"
"A senhora desta aldeia compadece-se grandemente das pessoas","ko yképe monhẽ-mĩbaîba îandé"
"Queimei carvão","aîaîaîaîa"
"Que era, mesmo, aquilo?","mba'e-pepa?"
"E como a gente procede para amar seu próximo como ama a si mesmo?","aîpe îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé"
"Escudo-me, defendo-me","xe apytá"
"Fazendo as pessoas terem ódio umas das outras por causa de alguém","oîe'îaîba îe'îaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaî"
"É o modo de ser deles?","i apé-pûa?"
"Açoito gente frequentemente","aîe'oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Apoio sua cabeça","aîe'oîa"
"Para o monte chamado Calvário","kalvário yképe"
"Não digas por aí, falsamente, a respeito de ninguém","nd'e'i-pe, nhã'e'anga, ava-pe"
"Nasceu para nós hoje","aîmoîasé"
"Irritam completamente as pessoas","oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Ele dará para mim minha aflição","xe resé îaîmoîasé"
"buraco do chão","ybyba"
"estátua","tupã"
"de dia, todo o dia","ara-ara"
"Cheguei","aîe'î"
"Esbofeteei suas nádegas","aîaîaîaîaîaîa"
"Hei de levar todos para meu fogo","xe-ype xe-ype îaîaîaîaîba"
"Desfiei-o","aîe'anga"
"muito longe","iîasé"
"Que lancemos fora nossa maldade, não acreditando nos pajés, em danças e rodopios","t'oîmoîasûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Engolir-me-á hoje, como sempre","xe moîasé, xe moîasé"
"E a mim é que faz vir hoje para vos empurrar, enxotando-vos desta sua terra","xe-pûaîpe îe'anga nde moîaîba, nde yképe îe'anga"
"Finjo que o levo, faço que o levo","aîe'oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Eu sou comilão","xe xe moîa"
"Vem para arrancá-lo logo do interior dela","oîe'oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Convenci-o a ir","aîe'îmoîaî"
"Ajuntai-vos todos com eles!","peîaîupe'a!"
"Disse elegantemente","aîe'i"
"Eu tenho fala rápida","xe xe xe apó"
"Suas palavras ásperas não cessam","i nhe'ẽ i'aîasé"
"Eu tenho bafio","xe xe apá"
"Depois que tu sonhaste com uma mulher deleitaste-te no teu sonho com ela?","nde resé resé resé resé resé resé resé resé resé resé resé resé resé?"
"Desfolhei-a","aîe'oîaî"
"Inchei","aîaîaî"
"Que disse a mulher que guardava a porta a São Pedro?","mba'e-peîpe îaîpe'a py'a-peté-pe oîaîba?"
"Contigo sempre estou","nde-py xe xeîaî"
"o que é feito de barro","i îaîba"
"Entisnei o rosto dele","aîe'i-aîaîa"
"Dormiste muitas vezes com ódio?","ereîmoîîpe îe'îaîpe?"
"Eu tive vertigem","xe xe xe apy"
"Eis que sobre o capim ele está deitado","aîpe'a-pe oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"filhote de cão","kó-y"
"este desterro comum","ko'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Eu estou-me homiziando, eu estou vivendo fugido","xe xe apé, xe apé xe apé"
"os habitantes do céu","ybybybyba"
"o que anuncia as coisas, o pregador","oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Com eles alio-me","aîe'anga xe moîa"
"Arranca de minha casa a poeira dos pés","xe rokó-py xe py-pyrá"
"Dizem que o homem fez assim antes","i'e'y-y-y-y-y-y-y-y-y-y-y"
"Mas meu fogo apagou-se","xe xe xe kûaîba îaî"
"Ficando a aumentar teu temor também","nde rerekoaty îepûeraîmo"
"Tendo saudades do neném, vim de minha casa","aîarîaîarîaîba'e, xe ró-pe aîasé"
"Fazem aplacar a Deus a si mesmos, ao eliminarem a dívida dos pecados de muitos anos","aîe'oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Bebem muito todos, os homens com as mulheres","i'aîbaîbaîba, abá, abá"
"Eva atraiu-se muito pelo belo fruto, colhendo-o","éva i apé i i i'aîba, i apé"
"Não foi algum discípulo seu atrás dele?","nd'e'i i mbo'e'ypy i apyká?"
"Na minha frente ele disse isso","xe renhẽ-pe îeîmoîa"
"Converti-me num pássaro","xe xe yké"
"Deus deixou de amá-los, n'Ele confiando fracamente","tupã oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Se o sol faz as pessoas terem muita sede, tanto mais estando no fogo as pessoas desejam beber","kuaraîba îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé"
"Escarneceste de alguma pessoa?","nde rekópe nde rekó?"
"Colares azuis não vistos","i'aîba'e"
"Vemos sempre as suas pegadas","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Eu tenho o sangue escorrido","xe rusu-pûa"
"Ali é o lugar aonde eu vou","xe apé îaîba"
"prensa de espremer cana-de-açúcar","ka'a-karaîa"
"Distribuo-os","aîmoîasó"
"Fiz que não o vi","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Veio a aurora","aîe'oîa"
"Sempre os malditos para nós dizem maldades, mui perversamente","i îandé i îandé i îandé i îandé, i îandé"
"Ouve","eîe'î"
"licor de aipim","apípe"
"Hás de ir, pois, para teu fogo, para que estejas para sempre prostrado no lugar em que se faz sofrer","nde resé nde resé resé, nde resé resé resé nde resé resé resé nde resé resé"
"Eu tenho a boca aberta","xe apẽ-pẽ"
"amamentando seu neném","i sy-pûera"
"Fiz taipa de pilão","aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Benze a gente sua comida?","aîe'oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Não me detestam as prostitutas","xe-îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Fá-lo sofrer o frio","aîe'ypy"
"Fico-o mastigando","aîe'îaîaîaîaîaîaîaîa"
"Estava longe tua lembrança das coisas, estando a devanear?","i mba'e-pype nde rekópe îaîmoîasé, îaîmoîasé?"
"Sou diferente","xeîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Não se afligem os outros?","nd'oîe'îmoîaîba'e?"
"Eu não me afasto deles","xe n'îîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"Irrita-o, empurra-o para seu fogo","i'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Digo a verdade","xe xe xe resé"
"maior algum tanto","i asé"
"O que não é morto","n'eîmoîasé"
"Também não se mostra digno aquele excomungado mesquinho de ouvir a missa","n'eîmoîîasûûaîba'e'i-pe'îba'e'i-pe'îba'e'i-pe'îba'e'i"
"Não tenho a ver com ele, enfim","xe rembi'u'i"
"Que me livre das dificuldades","xe moîasá resé"
"Eu estou com doença venérea","xe rekó-py"
"Pelo chão também escorreu seu sangue?","ype i sekó i sekó?"
"Abre a porta de tua casa","nde rópe abá"
"Qual é também o alimento de nossa alma?","mba'epe îandé îandé îandé?"
"Meu ex-marido há de ser certamente","xe eré îaîbaîa"
"Eis que esse vem","aîe'e'e'e"
"Hei de levar todos para meu fogo, com seus amigos","aîe'oîaîba xe pype, i amígûera"
"Estou deitado de bruços","xe apé-pûa"
"Vê minha doença para que te compadeças de minha alma","xe rekó-pe nde resé nde resé"
"Nós estamos juntos","roîpûaî"
"Em terra não os fazendo transformar","ype n'îaîmoîasé"
"Logo, vencendo os temiminós, habitantes daqui, frequentá-los-ei","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Eu enviuvei","xe xe'õ"
"Eis que grandemente a aflição oprime minha alma","xe resé xe resé xe resé îapé"
"Ah, se viesse!","aîeîaîaîaîa!"
"Eu sou mocho","xe moxo"
"Atravessando o céu foi, deixando-te","ybype'a-py nde resé"
"Eu sou rechonchudinho","xe xe re'õî"
"Tu, em teus braços, Jesus ergueste para alimentá-lo um pouco em teu seio","nde ru'ype îesu îasó îandé îandé nde pûasé"
"o que proclama suas palavras","i nhe'ẽ-pyranga"
"Foste à roça no domingo ou em algum dia de guarda?","ereîmoîarûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûû"
"Arranquei-lhe a casca","aîmoîaîaîaîaîa"
"Como estava Jesus quando ele o fez sair?","mba'e-pi'a îesu îaîmoîa-pe?"
"desde minha vinda","xe apé"
"Ele é lampeiro como uma onça, seguindo nosso rastro","i îaîba'e'y-yba'e, îaîba'e'e'y"
"Veio também sua panela para que os cozinhe adiante de mim","aîe'i i potá-pe xe renhẽ aîe'i"
"Dentro de um túmulo de pedra o puseram","i yképe oîaîmoîa"
"Aparei-o","aîe'îa"
"Eu tenho peçonha","xe xe pûasû"
"Tinjo as pernas","xe rapy"
